Gmt time,Open,High,Low,Close,Volume
31.08.2005 08:00:00.000,6.620,6.771,6.387,6.638,126249999.99999999
31.08.2005 12:00:00.000,6.601,6.791,6.405,6.739,192099998.4741
31.08.2005 16:00:00.000,6.534,6.802,6.453,6.752,104800001.1444
31.08.2005 20:00:00.000,6.700,6.855,6.463,6.746,31249999.523099996
01.09.2005 00:00:00.000,6.758,6.829,6.481,6.620,70550000.1908
01.09.2005 04:00:00.000,6.784,6.848,6.502,6.777,93900001.52579999
01.09.2005 08:00:00.000,6.698,6.853,6.510,6.818,88750001.9073
01.09.2005 12:00:00.000,6.797,6.983,6.490,6.870,166549997.3297
01.09.2005 16:00:00.000,6.806,7.009,6.618,6.743,106749999.5232
01.09.2005 20:00:00.000,6.863,6.945,6.653,6.693,27949999.809299998
02.09.2005 00:00:00.000,6.800,6.956,6.619,6.731,53149999.6184
02.09.2005 04:00:00.000,6.906,7.020,6.633,7.002,110750000.9537
02.09.2005 08:00:00.000,6.979,7.078,6.671,6.884,171549999.237
02.09.2005 12:00:00.000,6.954,7.029,6.632,6.924,185750000
02.09.2005 16:00:00.000,6.794,7.032,6.650,6.869,45799999.237100005
02.09.2005 20:00:00.000,6.861,6.993,6.696,6.858,25250000
04.09.2005 20:00:00.000,6.911,6.930,6.696,6.839,7349999.9046
05.09.2005 00:00:00.000,6.830,7.076,6.789,7.006,63849999.4278
05.09.2005 04:00:00.000,6.979,7.062,6.824,7.003,71450000.7629
05.09.2005 08:00:00.000,6.982,7.071,6.859,6.986,46999998.5695
05.09.2005 12:00:00.000,6.975,7.092,6.845,6.996,38449999.809200004
05.09.2005 16:00:00.000,6.962,7.085,6.858,6.927,9350000.143199999
05.09.2005 20:00:00.000,7.007,7.057,6.847,6.915,12499999.761500001
06.09.2005 00:00:00.000,6.972,7.051,6.824,6.959,43200000.2861
06.09.2005 04:00:00.000,6.971,7.033,6.776,6.942,75699998.8556
06.09.2005 08:00:00.000,6.932,7.051,6.775,7.010,59899998.664900005
06.09.2005 12:00:00.000,6.947,7.073,6.810,6.975,92950000.7629
06.09.2005 16:00:00.000,6.867,7.050,6.808,6.874,50950001.0014
06.09.2005 20:00:00.000,6.945,7.001,6.815,6.866,13049999.952300001
07.09.2005 00:00:00.000,6.945,7.042,6.816,6.958,48650000.5722
07.09.2005 04:00:00.000,6.935,7.067,6.803,7.024,73900000.5721
07.09.2005 08:00:00.000,6.983,7.087,6.800,6.973,74550000.1907
07.09.2005 12:00:00.000,6.901,7.116,6.800,7.019,96000000
07.09.2005 16:00:00.000,6.925,7.078,6.801,6.915,44350000.3815
07.09.2005 20:00:00.000,6.971,7.040,6.839,6.954,15299999.952200001
08.09.2005 00:00:00.000,6.866,7.059,6.799,6.954,48899998.6648
08.09.2005 04:00:00.000,6.955,7.050,6.835,6.914,35849999.9046
08.09.2005 08:00:00.000,6.973,7.109,6.824,6.897,38649999.6185
08.09.2005 12:00:00.000,6.948,7.136,6.767,6.943,88849998.47420001
08.09.2005 16:00:00.000,6.847,7.004,6.744,6.843,44749999.0463
08.09.2005 20:00:00.000,6.942,6.976,6.765,6.817,12850000.1431
09.09.2005 00:00:00.000,6.873,6.974,6.741,6.938,53600000.3815
09.09.2005 04:00:00.000,6.893,7.004,6.757,6.878,62850000.3815
09.09.2005 08:00:00.000,6.882,7.016,6.756,6.877,64300001.1444
09.09.2005 12:00:00.000,6.956,7.044,6.782,6.960,93199998.8557
09.09.2005 16:00:00.000,6.865,7.012,6.800,6.895,37150000.0357
09.09.2005 20:00:00.000,6.932,6.976,6.833,6.909,1350000.0238
11.09.2005 20:00:00.000,6.993,7.038,6.798,6.910,13249999.6424
12.09.2005 00:00:00.000,6.978,7.088,6.730,6.979,161900001.5258
12.09.2005 04:00:00.000,6.885,7.054,6.651,6.983,147050004.9591
12.09.2005 08:00:00.000,6.975,7.044,6.642,6.844,187049995.42229998
12.09.2005 12:00:00.000,6.928,7.033,6.634,6.951,210950000.7629
12.09.2005 16:00:00.000,6.911,7.100,6.713,6.994,98350000.38139999
12.09.2005 20:00:00.000,6.964,7.059,6.719,6.882,51150001.049
13.09.2005 00:00:00.000,6.903,7.041,6.701,6.897,98050001.1445
13.09.2005 04:00:00.000,6.950,7.035,6.656,6.935,164250000
13.09.2005 08:00:00.000,6.823,7.058,6.680,6.787,101499998.0926
13.09.2005 12:00:00.000,6.949,7.064,6.587,6.853,227400001.5259
13.09.2005 16:00:00.000,6.821,6.980,6.630,6.841,111500000.95369999
13.09.2005 20:00:00.000,6.843,6.982,6.679,6.818,36900000.095300004
14.09.2005 00:00:00.000,6.790,7.025,6.675,6.736,73000000
14.09.2005 04:00:00.000,6.910,7.009,6.659,6.801,114950000.76300001
14.09.2005 08:00:00.000,6.857,7.059,6.631,6.829,209349998.4741
14.09.2005 12:00:00.000,6.838,7.051,6.666,6.928,221899997.71109998
14.09.2005 16:00:00.000,6.909,7.056,6.724,6.927,121049997.3297
14.09.2005 20:00:00.000,6.878,7.072,6.715,6.852,59650000.5722
15.09.2005 00:00:00.000,6.855,7.092,6.749,6.880,106400001.5259
15.09.2005 04:00:00.000,6.968,7.078,6.700,6.954,176450002.6704
15.09.2005 08:00:00.000,6.994,7.101,6.701,7.029,190250000
15.09.2005 12:00:00.000,6.999,7.133,6.697,6.871,241799999.237
15.09.2005 16:00:00.000,6.857,7.086,6.689,6.968,146000000
15.09.2005 20:00:00.000,6.943,7.097,6.769,7.014,63000000.0001
16.09.2005 00:00:00.000,6.910,7.116,6.771,7.060,98649999.6186
16.09.2005 04:00:00.000,6.951,7.131,6.756,6.951,206999996.1853
16.09.2005 08:00:00.000,6.969,7.135,6.748,6.936,248000000
16.09.2005 12:00:00.000,6.949,7.256,6.767,7.132,184699996.94810003
16.09.2005 16:00:00.000,7.116,7.307,6.904,7.162,146599998.4742
16.09.2005 20:00:00.000,7.141,7.274,6.953,7.136,14199999.8093
18.09.2005 20:00:00.000,7.171,7.232,6.965,7.173,8649999.8569
19.09.2005 00:00:00.000,7.106,7.325,6.946,7.227,126950000.7629
19.09.2005 04:00:00.000,7.145,7.291,6.914,7.199,161099998.47419998
19.09.2005 08:00:00.000,7.151,7.394,6.951,7.115,187299999.237
19.09.2005 12:00:00.000,7.219,7.439,7.050,7.399,194900001.5259
19.09.2005 16:00:00.000,7.289,7.492,7.032,7.101,142000001.90739998
19.09.2005 20:00:00.000,7.183,7.341,7.016,7.090,57300000.1907
20.09.2005 00:00:00.000,7.079,7.367,7.027,7.145,99800001.1444
20.09.2005 04:00:00.000,7.182,7.424,7.035,7.398,112450000.7629
20.09.2005 08:00:00.000,7.374,7.464,7.021,7.264,170000000
20.09.2005 12:00:00.000,7.288,7.450,7.017,7.285,199349998.4742
20.09.2005 16:00:00.000,7.166,7.383,6.989,7.273,174949996.9482
20.09.2005 20:00:00.000,7.303,7.339,7.001,7.191,59300000.1907
21.09.2005 00:00:00.000,7.236,7.354,6.993,7.084,118449998.8556
21.09.2005 04:00:00.000,7.159,7.377,6.998,7.334,173750000
21.09.2005 08:00:00.000,7.313,7.387,6.992,7.248,154650001.5259
21.09.2005 12:00:00.000,7.215,7.444,7.025,7.312,199900001.5259
21.09.2005 16:00:00.000,7.148,7.439,7.068,7.250,168699996.9482
21.09.2005 20:00:00.000,7.370,7.470,7.118,7.270,71199998.8556
22.09.2005 00:00:00.000,7.399,7.511,7.131,7.301,165699996.9483
22.09.2005 04:00:00.000,7.354,7.486,7.130,7.420,180250000
22.09.2005 08:00:00.000,7.363,7.538,7.098,7.332,181950000.763
22.09.2005 12:00:00.000,7.401,7.459,7.035,7.282,202849998.4741
22.09.2005 16:00:00.000,7.250,7.427,7.064,7.237,137450000.76299998
22.09.2005 20:00:00.000,7.093,7.397,7.060,7.335,49299999.237
23.09.2005 00:00:00.000,7.236,7.394,7.041,7.262,108750000
23.09.2005 04:00:00.000,7.306,7.399,7.004,7.262,104450002.6703
23.09.2005 08:00:00.000,7.218,7.383,6.993,7.105,166799999.237
23.09.2005 12:00:00.000,7.258,7.335,6.958,7.239,195900001.52580002
23.09.2005 16:00:00.000,7.123,7.314,6.968,7.089,117699998.8555
23.09.2005 20:00:00.000,7.204,7.331,7.032,7.277,8100000.3815
25.09.2005 20:00:00.000,7.142,7.278,6.974,7.191,13650000.0954
26.09.2005 00:00:00.000,7.218,7.291,6.942,7.174,120600000.3815
26.09.2005 04:00:00.000,7.044,7.272,6.916,7.189,150150001.5258
26.09.2005 08:00:00.000,7.126,7.271,6.916,7.224,146050001.1444
26.09.2005 12:00:00.000,7.181,7.375,6.911,7.279,194299999.2371
26.09.2005 16:00:00.000,7.133,7.399,7.033,7.232,97100001.81210001
